experiment,Temp,H2SO4,Initial_HBA_Conc,IPA,time,A,B,C,D,E,F,H,I,J
1,70,15,0.9,13.4,0,25,0,0,0,0,0,0,0,0
1,70,15,0.9,13.4,180,22.75377357,0.045297954,0.49279296,0.161514268,0.457338486,0.880032368,0.035807646,0,0
1,70,15,0.9,13.4,300,21.19700092,0.066205369,0.678441504,0.276746535,0.781381299,1.158220994,0.085153773,0,0
1,70,15,0.9,13.4,450,20.36467158,0.05249077,0.815378279,0.490036272,1.341644009,1.077822022,0.197526116,0,0
1,70,15,0.9,13.4,600,16.78675628,0.052000355,1.147304376,1.327866853,2.959604834,1.106265843,0.612033907,0.077336566,0
1,70,15,0.9,13.4,900,12.0066733,0.057253752,1.549938512,1.94993799,5.087364098,1.069731042,1.647048775,0.109678676,0
1,70,15,0.9,13.4,1200,9.244073434,0.048435316,2.006774635,1.537407807,5.768131004,1.058110964,1.893242022,0.137030129,0
2,84,22,0.9,13.4,0,25,0,0,0,0,0,0,0,0
2,84,22,0.9,13.4,180,16.60123164,0.188418357,1.496174611,0.700877118,2.002228738,2.675264984,0.325777058,0.164392491,0.018600274
2,84,22,0.9,13.4,300,9.335531627,0.312193333,2.824651858,1.294804451,3.834882666,3.959505309,1.007152439,0.250816243,0.023437267
2,84,22,0.9,13.4,450,6.126039268,0.375595269,4.971477771,0.74824029,2.513925939,5.148124939,1.621810465,0.24647031,0.042599882
2,84,22,0.9,13.4,600,4.324648899,0.424577378,5.591950819,0.614336263,1.630233507,6.355245295,2.145547918,0.360320554,0.064341847
2,84,22,0.9,13.4,900,0.533767624,0.873679911,1.951844275,0.451268091,0.040931858,16.10549714,3.153375301,0.86222773,0.499278419
2,84,22,0.9,13.4,1200,0.971530184,0.569148221,3.694753417,0.469720187,0.245498578,11.43074161,3.917699248,1.248423837,0.564354168
3,77,29,0.9,13.4,0,25,0,0,0,0,0,0,0,0
3,77,29,0.9,13.4,180,15.20552927,0.231726676,1.882648686,0.67657982,1.773543252,3.346411408,0.81497313,0.065966063,0
3,77,29,0.9,13.4,300,9.772548308,0.354682063,2.682947946,1.213558173,3.105957227,4.950426398,1.223893554,0.158884806,0
3,77,29,0.9,13.4,450,5.180539526,0.524363401,4.295190827,0.71062559,2.31491632,7.492293278,1.771438143,0.240905735,0.033756462
3,77,29,0.9,13.4,600,3.351230915,0.56593872,4.780097432,0.487452733,1.063133812,9.186025899,2.299471741,0.828022158,0.064215067
3,77,29,0.9,13.4,900,1.218096136,0.770739395,3.410102086,0.413895653,0.174697052,13.66782993,3.029708811,0.885455873,0.19391769
3,77,29,0.9,13.4,1200,0.225160067,0.888920543,1.875047517,0.151619551,0.189421543,16.68772835,3.308147282,0.838064026,0.464217947
4,89,26,0.9,13.4,0,25,0,0,0,0,0,0,0,0
4,89,26,0.9,13.4,180,10.03265354,0.447003824,2.180285779,0.780021712,2.312159426,5.616700561,1.484101643,0.877415127,0.031526021
4,89,26,0.9,13.4,300,3.084466295,0.725618601,4.753024742,0.540431316,1.042737362,9.891852084,2.476507403,0.363298715,0.08009299
4,89,26,0.9,13.4,450,0.886965938,0.845759404,3.438456429,0.47700756,0.19617713,13.3930502,3.445299245,0.708347676,0.248328698
4,89,26,0.9,13.4,600,0.20325842,0.852740068,2.009337584,0.45647851,0.033858663,15.20226627,3.600596866,1.294995545,0.969887926
4,89,26,0.9,13.4,900,0.020161588,0.936799071,0.915196895,0.439467942,0,15.70359471,3.42233224,1.740823475,1.821624079
4,89,26,0.9,13.4,1200,0.204013611,0.989584071,0.709016899,0.402423807,0,14.94497613,2.829537149,2.265681139,2.654767196
5,74,38,0.9,13.4,0,25,0,0,0,0,0,0,0,0
5,74,38,0.9,13.4,180,11.07050168,0.400957527,2.870573325,0.921755172,2.342447966,4.994282988,0.983615713,0.187443653,0
5,74,38,0.9,13.4,300,6.045560713,0.57914992,4.307641813,0.633163037,2.306220901,7.953844804,1.402200096,0.188804672,0
5,74,38,0.9,13.4,450,2.883683551,0.719509547,4.927623751,0.296311198,0.74232435,11.22726645,2.077741324,0.457403407,0.049791992
5,74,38,0.9,13.4,600,0.854830556,0.991595507,2.854435616,0.198259725,0.076156729,16.28654861,2.612431054,0.371273735,0.111020391
5,74,38,0.9,13.4,900,0.124771016,1.083479148,1.322563832,0.130213506,0.187487207,18.44911446,2.788205528,0.514714221,0.191114793
5,74,38,0.9,13.4,1200,0,1.219649675,0.705378024,0.112170442,0,19.33021342,2.6007219,0.637879978,0.39398656
6,84,32,0.9,13.4,0,25,0,0,0,0,0,0,0,0
6,84,32,0.9,13.4,180,9.922573783,0.393545849,2.690588362,1.087618462,2.988032221,5.084702068,1.221833509,0.10769857,0
6,84,32,0.9,13.4,300,3.05222546,0.56216084,5.165801514,0.345973414,0.873039951,10.41089276,2.181698903,0.344265279,0.077240097
6,84,32,0.9,13.4,450,1.418496034,0.757765934,4.25545782,0.143857464,0.308589194,13.37642335,2.850492115,0.497942455,0.160821297
6,84,32,0.9,13.4,600,0.718139352,1.01943918,1.896553548,0.194406342,0.036253308,16.62639755,2.786856729,0.786867408,0.428396277
6,84,32,0.9,13.4,900,0.221687089,1.047960063,0.853544626,0.192080662,0,16.90592418,2.661473686,1.451129281,1.666200411
6,84,32,0.9,13.4,1200,0,1.210557578,0.730002069,0.155136252,0,15.24854465,1.996603639,2.068460018,3.590695795
8,79,31,0.9,13.4,0,25,0,0,0,0,0,0,0,0
8,79,31,0.9,13.4,180,16.08307505,0.216254362,2.15310191,0.595334648,1.428627638,3.192871655,0.573406664,0,0
8,79,31,0.9,13.4,300,11.66710267,0.311843823,2.893148973,1.027919259,2.630234851,4.410400672,0.898782495,0.098734224,0
8,79,31,0.9,13.4,450,4.545870407,0.530281907,5.585060573,0.408113599,1.373629566,8.549919892,1.681411434,0.422200055,0
8,79,31,0.9,13.4,600,2.373559741,0.597888902,5.359992887,0.262901837,0.541233617,11.27905702,2.348307863,0.525276313,0.072423789
8,79,31,0.9,13.4,900,0.863124953,0.763075736,3.079696061,0.213546444,0.09615945,15.34139364,2.964196204,0.66702023,0.266820773
8,79,31,0.9,13.4,1200,0.342858983,0.979975199,1.368445728,0.230559547,0.013921534,17.50745521,3.135097962,0.688921884,0.42596198
9,78,21,0.9,13.4,0,25,0,0,0,0,0,0,0,0
9,78,21,0.9,13.4,180,18.6783571,0.146228107,1.355315147,0.555507053,1.414320852,1.975979196,0.431918596,0,0
9,78,21,0.9,13.4,300,16.5997054,0.168025665,1.316933781,0.768749024,1.981526966,2.553512281,0.788406204,0,0
9,78,21,0.9,13.4,450,11.78249805,0.202749922,2.026579773,1.427707063,3.65548532,3.479069212,1.07459764,0.078729356,0
9,78,21,0.9,13.4,600,7.580982414,0.174978835,2.949594682,1.413977645,4.737847587,4.128757227,1.422051642,0.120504886,0
9,78,21,0.9,13.4,900,3.950465992,0.217699324,5.025427529,0.581847659,2.021786771,6.768838417,2.514900648,0.267124604,0.079803854
9,78,21,0.9,13.4,1200,1.62430514,0.2775022,4.739248906,0.321164206,0.667756126,10.30195971,3.697908679,0.504279226,0.155808877
10,86,38,0.9,13.4,0,25,0,0,0,0,0,0,0,0
10,86,38,0.9,13.4,180,7.999065006,0.515608031,2.696604269,1.078970845,3.119329347,6.429640922,1.576300802,0.088340364,0
10,86,38,0.9,13.4,300,1.675487175,0.739101893,4.81414205,0.289978839,0.5209705,12.06874813,2.719592012,0.215893376,0
10,86,38,0.9,13.4,450,0.087895648,1.081762863,1.743943807,0.212852579,0.013649475,17.83763937,2.947555586,0.661876256,0.184935591
10,86,38,0.9,13.4,600,0,1.268067879,1.02261735,0.128810275,0,18.88996552,2.121509972,1.10714589,0.430863776
10,86,38,0.9,13.4,900,0,1.331191339,1.038030296,0.132310479,0,18.9424252,1.614613412,1.250171629,0.691257641
10,86,38,0.9,13.4,1200,0,1.345326718,1.132310125,0.097517229,0,18.473021,1.204956617,1.241430151,1.505438163
11,75,31,0.9,13.4,0,25,0,0,0,0,0,0,0,0
11,75,31,0.9,13.4,180,15.39305695,0.255184538,2.362964813,0.684747454,1.720776588,3.223517905,0.755841604,0,0
11,75,31,0.9,13.4,300,11.28035026,0.317396438,3.016301387,1.081589242,2.666172127,4.49078207,1.008856214,0.030195716,0
11,75,31,0.9,13.4,450,5.304803409,0.49665093,4.677830297,0.585984934,2.140933367,8.05541164,1.689270209,0.105517211,0
11,75,31,0.9,13.4,600,2.761611271,0.577634241,5.099650813,0.352918059,0.938348926,10.64322312,2.39880267,0.220049327,0.025100275
11,75,31,0.9,13.4,900,0.906677327,0.780959159,3.035447731,0.232057655,0.1132133,14.94241087,3.2572117,0.724646096,0.177096496
11,75,31,0.9,13.4,1200,0.098239892,0.957667337,1.390103707,0.229161285,0,17.66332448,3.347035034,0.771696003,0.296778945
12,70,20,0.45,26.9,0,22,0,0,0,0,0,0,0,0
12,70,20,0.45,26.9,600,21.14137352,0,0.208706271,0.358886373,1.009792557,0.019681439,0,0,0
12,70,20,0.45,26.9,900,19.72780982,0,0.316014835,0.471692741,1.510243613,0.050235081,0,0,0
12,70,20,0.45,26.9,1200,15.51218247,0,0.279456501,0.697910788,1.81268379,0.11551185,0.057249455,0,0
13,80,20,0.45,26.9,0,22,0,0,0,0,0,0,0,0
13,80,20,0.45,26.9,600,17.74959636,0.023340544,0.451934441,0.420369297,1.751696642,0.356273904,0.26037741,0,0
13,80,20,0.45,26.9,900,17.46205957,0.020782548,0.401194009,0.616257532,2.433134632,0.256893598,0.200004428,0,0
13,80,20,0.45,26.9,1200,9.934854972,0.024429281,0.675058682,1.488489416,4.607404714,0.335414645,0.285375431,0.012702628,0
14,90,20,0.45,26.9,0,22,0,0,0,0,0,0,0,0
14,90,20,0.45,26.9,600,13.86063756,0.030125661,0.603801083,1.047569445,4.155739663,0.493056997,0.45641838,0.029708021,0
14,90,20,0.45,26.9,900,11.74122907,0.029385468,0.537015495,1.320600777,5.272713358,0.390483034,0.389905344,0.018943775,0
14,90,20,0.45,26.9,1200,5.942829055,0.038660372,1.453830377,1.2039536,5.848840006,0.639382118,0.645569248,0.037680714,0
15,70,20,1.8,6.72,0,90,0,0,0,0,0,0,0,0
15,70,20,1.8,6.72,600,0.881967616,5.403470612,7.958358748,0,0,67.34357282,6.060967281,0.535643646,0.798763858
15,70,20,1.8,6.72,900,0.664805349,6.766796157,1.896091771,0,0,73.6161013,3.954915471,0.868161308,0.97254522
15,70,20,1.8,6.72,1200,1.510990665,5.068092839,2.847452101,0,0,52.32195435,2.875616792,1.051080554,1.445383488
16,80,20,1.8,6.72,0,100,0,0,0,0,0,0,0,0
16,80,20,1.8,6.72,600,0.926686353,6.05787562,8.304559918,0,0,73.31610837,6.377821605,0.662555764,2.742653466
16,80,20,1.8,6.72,900,0.215544824,6.480614164,1.955627718,0,0,74.66522431,4.215235667,1.147605887,3.053130184
16,80,20,1.8,6.72,1200,0,6.106046893,1.942885862,0,0,78.9388586,5.190311299,1.9150834,3.307590034
17,90,20,1.8,6.72,0,82,0,0,0,0,0,0,0,0
17,90,20,1.8,6.72,600,0,6.514321456,2.240032291,0,0,67.73742261,3.508546771,0.86451239,1.76737317
17,90,20,1.8,6.72,900,0,7.030508153,2.152000109,0,0,69.38032038,1.650255535,1.251383024,2.017734976
17,90,20,1.8,6.72,1200,0,5.358998596,1.835963092,0,0,59.71072424,3.611170298,1.661106832,2.90614389
18,70,10,0.9,13.4,0,40,0,0,0,0,0,0,0,0
18,70,10,0.9,13.4,600,32.4404112,0.112728115,1.124299258,0.98397729,2.672265186,1.493058921,0.650832567,0,0
18,70,10,0.9,13.4,900,31.02868907,0.099758815,0.954222,1.25260761,3.737511682,1.116099545,0.734124625,0,0
18,70,10,0.9,13.4,1200,18.64880925,0.100810979,1.669540263,2.831135638,7.851423453,1.335733239,0.938988873,0.061986318,0
19,80,10,0.9,13.4,0,40,0,0,0,0,0,0,0,0
19,80,10,0.9,13.4,600,31.51822651,0.087217938,1.115827599,1.047698222,2.754973475,1.189320225,0.501245652,0,0
19,80,10,0.9,13.4,900,23.85248158,0,1.014343119,1.625742495,3.881979587,0.816761862,0.451980135,0,0
19,80,10,0.9,13.4,1200,17.89926992,0.100791505,1.657862417,2.722130632,7.585205969,1.357668972,0.951435454,0,0
20,90,10,0.9,13.4,0,40,0,0,0,0,0,0,0,0
20,90,10,0.9,13.4,600,28.95739266,0.103565746,1.131228798,1.366585521,4.256242607,1.338551413,0.713648219,0.081120027,0
20,90,10,0.9,13.4,900,34.15974687,0.06643731,0.732375365,1.182793072,4.672496826,0.75641682,0.489297932,0,0
20,90,10,0.9,13.4,1200,15.50992519,0.090287897,2.391961242,2.763520736,10.13155961,1.540882286,1.151503211,0.088713311,0
21,70,20,0.9,13.4,0,40,0,0,0,0,0,0,0,0
21,70,20,0.9,13.4,600,13.30224905,0.366534406,3.781852162,1.62713693,4.393242384,4.991911412,1.359005875,0.101060504,0
21,70,20,0.9,13.4,900,10.9340282,0.265143255,5.483881989,1.365641456,5.950552598,4.657056122,1.701001625,0.191385685,0
21,70,20,0.9,13.4,1200,4.603041668,0.844215409,9.529267275,0.62471612,1.813660476,20.23697031,5.586551955,0.747766591,0.222425719
22,80,20,0.9,13.4,0,45,0,0,0,0,0,0,0,0
22,80,20,0.9,13.4,600,8.581571704,0.469206001,4.498952159,1.36984885,4.959688512,7.267524346,2.238380794,0.369570768,0
22,80,20,0.9,13.4,900,5.661191048,0.56193259,9.99479976,0.950671052,2.136689584,16.05527224,5.014604998,0.800845174,0.182534005
22,80,20,0.9,13.4,1200,0.34022664,1.42908289,2.803232782,0.262962384,0.150392833,26.94052677,5.411315243,0.905085936,0.408624909
23,90,20,0.9,13.4,0,45,0,0,0,0,0,0,0,0
23,90,20,0.9,13.4,600,7.591320727,0.508273504,4.284106843,1.289171168,4.54268467,7.851785296,2.465991943,0.415736954,0
23,90,20,0.9,13.4,900,2.891793354,0.800787172,9.167370311,0.944301571,0.961187447,22.14959869,6.30664383,0.807814637,0.211468096
23,90,20,0.9,13.4,1200,0.359812781,2.117280841,2.253944552,0.173558114,0.051073867,26.96317474,3.337514174,0.560598709,0.473710337
24,70,40,0.9,13.4,0,42,0,0,0,0,0,0,0,0
24,70,40,0.9,13.4,600,0.522891289,1.809584898,3.367715631,0.061134576,0.07616938,25.43094853,3.425259955,0.245569998,0.053709749
24,70,40,0.9,13.4,900,0,2.907079872,0.867387869,0.313899941,0,35.40440788,2.677130523,0.245350054,0.05970899
24,70,40,0.9,13.4,1200,0,2.23123531,0.911864124,0.353235862,0,33.57973749,2.897457273,0.520190299,0.264416812
25,80,40,0.9,13.4,0,40,0,0,0,0,0,0,0,0
25,80,40,0.9,13.4,600,0.13644051,1.94545383,1.920289587,0.05719885,0,30.15139568,3.247075569,0.319896939,0.081627888
25,80,40,0.9,13.4,900,0,2.1609452,0.98155795,0,0,28.719454,1.274589527,0.507877327,0.148859606
25,80,40,0.9,13.4,1200,0,1.916045238,1.1259958,0,0,26.4101131,1.194992208,0.530487236,0.591810112
26,90,40,0.9,13.4,0,40,0,0,0,0,0,0,0,0
26,90,40,0.9,13.4,600,0,2.191903181,1.165532801,0,0,30.51010608,1.966944818,0.60610507,0.444452015
26,90,40,0.9,13.4,900,0,2.143315066,1.279887668,0,0,27.69452489,0.659579579,0.336587,0.246121416
26,90,40,0.9,13.4,1200,0,2.068853504,1.458752216,0,0,25.33947602,0.764191799,0.48620797,0.689394008
27,85,20,1.8,6.72,0,100,0,0,0,0,0,0,0,0
27,85,20,1.8,6.72,600,0,9.552031149,1.260675381,0,0,102.4167598,5.472717699,0.691116507,0.487843416
27,85,20,1.8,6.72,900,0,8.309642731,0.368046472,0,0,94.09461465,4.814464018,1.112824839,1.887743079
27,85,20,1.8,6.72,1200,0,7.764478972,0.253988389,0,0,89.33679366,4.458680976,1.372931487,3.082424111
28,95,20,1.8,6.72,0,85,0,0,0,0,0,0,0,0
28,95,20,1.8,6.72,600,0.025411294,7.588855373,0.909982035,0,0,81.22154158,2.517018167,0.981177862,2.30830756
28,95,20,1.8,6.72,900,0,8.867131943,0.500574282,0,0,86.86546171,2.478774898,1.451781255,4.767646834
28,95,20,1.8,6.72,1200,0,7.944941511,0.503514529,0,0,75.84208711,2.191755789,2.199284606,8.076673107
